id,name,shelves,platforms,rating,review,dates,statuses,genres,franchises,developers,publishers,release_date,url,giantbomb_id
47995,Stardew Valley,"{""Played"": {""date_added"": ""2018-05-01T14:44:30Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},4,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Fishing"": {""url"": ""https://www.grouvee.com/games/?genre=fishing""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}, ""Simulation"": {""url"": ""https://www.grouvee.com/games/?genre=simulation""}}",{},"{""Chucklefish Games"": {""url"": ""https://www.grouvee.com/games/?developer=chucklefish-games""}, ""Eric Barone"": {""url"": ""https://www.grouvee.com/games/?developer=eric-barone""}, ""Playism"": {""url"": ""https://www.grouvee.com/games/?developer=playism""}, ""Sickhead Games"": {""url"": ""https://www.grouvee.com/games/?developer=sickhead-games""}}","{""505 Games"": {""url"": ""https://www.grouvee.com/games/?publisher=505-games""}, ""Chucklefish Games"": {""url"": ""https://www.grouvee.com/games/?publisher=chucklefish-games""}}",2016-02-26,https://www.grouvee.com/games/47995-stardew-valley/,50899
87068,Life is Strange: True Colors,"{""Wish List"": {""date_added"": ""2021-09-22T08:50:12Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147654-wish-list/"", ""order"": 45}}",{},,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}}","{""Life Is Strange"": {""url"": ""https://www.grouvee.com/games/franchise/3804-life-is-strange/""}}",{},{},2021-09-10,https://www.grouvee.com/games/87068-life-is-strange-true-colors/,82085
63,The World Ends with You,"{""Played"": {""date_added"": ""2021-08-21T05:45:36Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/"", ""order"": 302}}",{},3,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}",{},"{""h.a.n.d. Inc."": {""url"": ""https://www.grouvee.com/games/?developer=hand-inc""}, ""Jupiter Corp."": {""url"": ""https://www.grouvee.com/games/?developer=jupiter-corp""}, ""Square Enix"": {""url"": ""https://www.grouvee.com/games/?developer=square-enix""}}","{""Square Enix"": {""url"": ""https://www.grouvee.com/games/?publisher=square-enix""}, ""Square Enix Ltd."": {""url"": ""https://www.grouvee.com/games/?publisher=square-enix-ltd""}, ""Ubisoft Entertainment"": {""url"": ""https://www.grouvee.com/games/?publisher=ubisoft-entertainment""}}",2007-07-27,https://www.grouvee.com/games/63-the-world-ends-with-you/,20677
29099,Twisted Metal,"{""Played"": {""date_added"": ""2017-05-30T06:42:03Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Vehicular Combat"": {""url"": ""https://www.grouvee.com/games/?genre=vehicular-combat""}}","{""Twisted Metal"": {""url"": ""https://www.grouvee.com/games/franchise/979-twisted-metal/""}}","{""Eat, Sleep, Play, Inc."": {""url"": ""https://www.grouvee.com/games/?developer=eat-sleep-play-inc""}, ""SCE Studio Santa Monica"": {""url"": ""https://www.grouvee.com/games/?developer=sce-studio-santa-monica""}}","{""Sony Computer Entertainment America"": {""url"": ""https://www.grouvee.com/games/?publisher=sony-computer-entertainment-america""}, ""Sony Computer Entertainment Europe"": {""url"": ""https://www.grouvee.com/games/?publisher=sony-computer-entertainment-europe""}}",2012-02-14,https://www.grouvee.com/games/29099-twisted-metal/,31754
46330,XCOM 2,"{""Played"": {""date_added"": ""2020-08-07T08:58:41Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}","{""Nintendo Switch"": {""url"": ""https://www.grouvee.com/games/?platform=nintendo-switch""}}",4,,[],[],"{""Strategy"": {""url"": ""https://www.grouvee.com/games/?genre=strategy""}}","{""X-COM"": {""url"": ""https://www.grouvee.com/games/franchise/145-x-com/""}}","{""Feral Interactive"": {""url"": ""https://www.grouvee.com/games/?developer=feral-interactive""}, ""Firaxis Games"": {""url"": ""https://www.grouvee.com/games/?developer=firaxis-games""}}","{""2K Games"": {""url"": ""https://www.grouvee.com/games/?publisher=2k-games""}}",2016-02-05,https://www.grouvee.com/games/46330-xcom-2/,49817
74779,The Legend of Zelda: Link's Awakening,"{""Played"": {""date_added"": ""2019-10-07T07:33:04Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},4,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}}","{""The Legend of Zelda"": {""url"": ""https://www.grouvee.com/games/franchise/412-the-legend-of-zelda/""}}","{""Grezzo"": {""url"": ""https://www.grouvee.com/games/?developer=grezzo""}, ""Nintendo EPD"": {""url"": ""https://www.grouvee.com/games/?developer=nintendo-epd""}}","{""Nintendo"": {""url"": ""https://www.grouvee.com/games/?publisher=nintendo""}}",2019-09-20,https://www.grouvee.com/games/74779-the-legend-of-zelda-links-awakening/,72148
47792,Phoenix Wright: Ace Attorney – Spirit of Justice,"{""Played"": {""date_added"": ""2017-06-13T10:38:37Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},3,,[],[],"{""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}}","{""Ace Attorney"": {""url"": ""https://www.grouvee.com/games/franchise/1290-ace-attorney/""}}","{""Capcom"": {""url"": ""https://www.grouvee.com/games/?developer=capcom""}}","{""Capcom"": {""url"": ""https://www.grouvee.com/games/?publisher=capcom""}}",2016-06-09,https://www.grouvee.com/games/47792-phoenix-wright-ace-attorney-spirit-of-justice/,50714
35789,The Walking Dead: Season Two,"{""Played"": {""date_added"": ""2017-05-30T06:30:57Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},4,,[],[],"{""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}}","{""The Walking Dead"": {""url"": ""https://www.grouvee.com/games/franchise/2310-the-walking-dead/""}}","{""Telltale Games"": {""url"": ""https://www.grouvee.com/games/?developer=telltale-games""}}","{""Telltale Games"": {""url"": ""https://www.grouvee.com/games/?publisher=telltale-games""}}",2013-12-17,https://www.grouvee.com/games/35789-the-walking-dead-season-two/,39042
86880,The Caligula Effect 2,"{""Wish List"": {""date_added"": ""2021-10-18T12:10:06Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147654-wish-list/"", ""order"": 61}}",{},,,[],[],"{""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""The Caligula Effect"": {""url"": ""https://www.grouvee.com/games/franchise/4906-the-caligula-effect/""}}",{},{},2021-06-24,https://www.grouvee.com/games/86880-the-caligula-effect-2/,81923
50017,Batman: The Telltale Series,"{""Played"": {""date_added"": ""2020-03-09T14:54:34Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},3,,[],[],"{""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}}","{""Batman"": {""url"": ""https://www.grouvee.com/games/franchise/74-batman/""}, ""DC Universe"": {""url"": ""https://www.grouvee.com/games/franchise/75-dc-universe/""}}","{""Telltale Games"": {""url"": ""https://www.grouvee.com/games/?developer=telltale-games""}, ""WB Games"": {""url"": ""https://www.grouvee.com/games/?developer=wb-games""}}","{""Telltale Games"": {""url"": ""https://www.grouvee.com/games/?publisher=telltale-games""}, ""WB Games"": {""url"": ""https://www.grouvee.com/games/?publisher=wb-games""}}",2016-08-02,https://www.grouvee.com/games/50017-batman-the-telltale-series/,51726
37,The Legend of Zelda: Skyward Sword,"{""Backlog"": {""date_added"": ""2021-07-20T11:50:35Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147652-backlog/"", ""order"": 27}}",{},,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}}","{""The Legend of Zelda"": {""url"": ""https://www.grouvee.com/games/franchise/412-the-legend-of-zelda/""}}",{},{},2011-11-18,https://www.grouvee.com/games/37-the-legend-of-zelda-skyward-sword/,26934
59530,Moonlighter,"{""Played"": {""date_added"": ""2021-03-03T12:34:29Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},3,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}",{},"{""Digital Sun"": {""url"": ""https://www.grouvee.com/games/?developer=digital-sun""}}","{""11 Bit Studios"": {""url"": ""https://www.grouvee.com/games/?publisher=11-bit-studios""}}",2018-05-29,https://www.grouvee.com/games/59530-moonlighter/,61478
82802,Returnal,"{""Wish List"": {""date_added"": ""2021-07-12T09:15:31Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147654-wish-list/"", ""order"": 31}}",{},,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=shooter""}}",{},{},{},2021-04-30,https://www.grouvee.com/games/82802-returnal/,78955
35305,Beyond: Two Souls,"{""Played"": {""date_added"": ""2017-05-30T06:35:53Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},4,,[],[],"{""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}}",{},{},{},2013-10-08,https://www.grouvee.com/games/35305-beyond-two-souls/,38541
18802,Grand Theft Auto IV,"{""Played"": {""date_added"": ""2017-05-30T06:38:14Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},5,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=shooter""}}","{""Grand Theft Auto"": {""url"": ""https://www.grouvee.com/games/franchise/845-grand-theft-auto/""}}","{""Rockstar North"": {""url"": ""https://www.grouvee.com/games/?developer=rockstar-north""}}","{""Rockstar Games"": {""url"": ""https://www.grouvee.com/games/?publisher=rockstar-games""}}",2008-04-29,https://www.grouvee.com/games/18802-grand-theft-auto-iv/,20457
60584,The Legend of Heroes: Trails of Cold Steel IV,"{""Wish List"": {""date_added"": ""2021-05-01T08:46:55Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147654-wish-list/""}}",{},,,[],[],"{""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""The Legend of Heroes"": {""url"": ""https://www.grouvee.com/games/franchise/1027-the-legend-of-heroes/""}, ""Trails"": {""url"": ""https://www.grouvee.com/games/franchise/2665-trails/""}}",{},{},2018-09-27,https://www.grouvee.com/games/60584-the-legend-of-heroes-trails-of-cold-steel-iv/,62514
51712,Ever Oasis,"{""Played"": {""date_added"": ""2017-07-28T17:40:24Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}","{""Nintendo 3DS"": {""url"": ""https://www.grouvee.com/games/?platform=nintendo-3ds""}}",3,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}",{},"{""Grezzo"": {""url"": ""https://www.grouvee.com/games/?developer=grezzo""}}","{""Nintendo"": {""url"": ""https://www.grouvee.com/games/?publisher=nintendo""}}",2017-06-23,https://www.grouvee.com/games/51712-ever-oasis/,54257
20427,Professor Layton and the Unwound Future,"{""Played"": {""date_added"": ""2017-05-30T06:45:48Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},,,[],[],"{""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}, ""Puzzle"": {""url"": ""https://www.grouvee.com/games/?genre=puzzle""}}","{""Professor Layton"": {""url"": ""https://www.grouvee.com/games/franchise/1529-professor-layton/""}}","{""Level-5 Inc."": {""url"": ""https://www.grouvee.com/games/?developer=level-5-inc""}, ""Procyon Studio"": {""url"": ""https://www.grouvee.com/games/?developer=procyon-studio""}}","{""Level-5 Inc."": {""url"": ""https://www.grouvee.com/games/?publisher=level-5-inc""}, ""Nintendo"": {""url"": ""https://www.grouvee.com/games/?publisher=nintendo""}}",2010-09-12,https://www.grouvee.com/games/20427-professor-layton-and-the-unwound-future/,22336
43909,Donut County,"{""Played"": {""date_added"": ""2021-04-12T11:11:03Z"", ""url"": ""https://www.grouvee.com/user/praGmatic/shelves/147651-played/""}}",{},4,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}}",{},{},{},2018-08-28,https://www.grouvee.com/games/43909-donut-county/,47388
